NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;Si;;;183.5276;62.1170;44;6824.4063;4131;703;1.3072;32;1;8;32;12;32;10;2715;498;101;166
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;Si;;;186.3511;57.8818;41;6930.2877;4294;615;1.3496;24;1;6;32;9;35;7;2701;411;102;165
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;No;65.6582;1.01155;64.9082;30.3809;2352;1616.9064;78868;46308;2.2319;226;31;26;1207;1145;1233;1120;65143;40283;31098;46329
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;--;;;0.0000;0.0000;89;0.0000;8291;21;0.5337;16;6;0;51;38;43;1;8225;19;595;589
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;--;;;0.0000;0.0000;87;0.0000;8206;23;0.5517;16;7;0;51;36;44;1;8136;21;613;588
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;Si;;;183.5276;56.4700;40;6924.6407;4270;635;1.2524;28;1;5;32;8;33;6;2686;428;101;163
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;No;63.853;0.974626;65.5153;30.0063;2323;1601.1476;78532;45424;2.2527;233;29;29;1201;1122;1242;1108;64845;39472;31315;46597
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;No;61.4087;0.931624;65.9157;29.9288;2317;1597.7117;79236;44454;2.2519;241;28;32;1195;1122;1247;1095;65416;38586;32170;47819
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;--;;;0.0000;0.0000;92;0.0000;8264;22;0.6335;20;7;0;57;35;51;1;8188;20;620;593
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;Si;;;187.7629;57.8818;41;6913.3466;4267;630;1.3175;32;1;4;33;8;35;6;2686;426;103;165
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;--;;;0.0000;0.0000;97;0.0000;8507;18;0.6513;17;5;0;59;38;54;1;8429;16;706;618
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;Si;;;182.1159;83.2933;59;7324.1663;4607;581;1.6954;44;1;7;50;9;50;7;2953;409;99;150
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;No;58.8726;0.871461;67.5562;29.4896;2283;1629.2551;82143;43989;2.2107;255;32;30;1195;1088;1278;1065;67859;38126;37356;49515
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;No;59.6724;0.856762;69.6488;30.3034;2346;1613.1992;83412;41477;2.2855;264;35;29;1242;1104;1308;1086;68807;35940;39295;49526
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;--;;;0.0000;0.0000;107;0.0000;8555;14;0.7189;19;4;0;67;40;60;1;8473;12;710;632
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;Si;;;179.2924;98.8225;70;8155.6879;5242;535;1.7824;41;1;11;60;10;59;8;3368;391;88;118
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;--;;;0.0000;0.0000;105;0.0000;8529;15;0.6742;23;43;0;60;45;55;2;8442;12;762;669
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;Si;;;194.8216;110.1166;78;8488.8612;5461;552;1.9898;41;1;10;66;12;66;12;3527;393;77;98
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;No;61.043;0.848889;71.9092;30.7038;2377;1632.3940;87016;39359;2.3096;264;43;35;1242;1135;1318;1121;71517;34084;41687;51417
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;--;;;0.0000;0.0000;104;0.0000;8662;17;0.7452;30;43;0;66;38;62;2;8575;13;769;695
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;Si;;;206.1157;121.4106;86;8598.9778;5483;608;2.2956;49;1;13;72;14;75;14;3451;426;69;84
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;No;64.6195;0.855299;75.5519;32.2926;2500;1622.8870;88376;37263;2.4880;270;38;32;1307;1193;1416;1185;72294;32246;44098;52028
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;No;68.3678;0.860203;79.4786;34.5273;2673;1587.0551;87753;35112;2.7397;272;42;32;1393;1280;1503;1288;71581;30292;46796;54117
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;--;;;0.0000;0.0000;107;0.0000;8581;21;0.7639;39;42;0;68;39;63;2;8493;16;803;736
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;Si;;;215.9979;128.4693;91;8870.0341;5630;653;2.2408;55;1;14;75;16;75;16;3607;454;63;76
